,Team1,Team2,SpreadOU1,Spread1,SpreadOU2,Spread2,Win1,Win2,TotalOver,Total1,TotalUnder,Total2,DateTime,Site
0,Bilibili Gaming,Top Esports,,,,,1.58,2.2,,,,,10:00,Thunderpick
1,LNG Esports,Weibo Gaming,,,,,1.52,2.35,,,,,10:00,Thunderpick
2,Dplus,FearX,,,,,1.17,4.4,,,,,08:00,Thunderpick
3,KT Rolster,T1,,,,,2.7,1.42,,,,,06:00,Thunderpick
4,G2 Esports,Team BDS,,,,,1.22,3.8,,,,,15:00,Thunderpick
5,Fnatic,MAD Lions KOI,,,,,1.48,2.5,,,,,15:00,Thunderpick
6,NRG,Team Dignitas,,,,,2.0,1.72,,,,,20:00,Thunderpick
7,100 Thieves,Team Liquid,,,,,5.3,1.12,,,,,20:00,Thunderpick
8,Cloud9,Flyquest,,,,,1.48,2.5,,,,,20:00,Thunderpick
9,JD Gaming,Ninjas in Pyjamas,,,,,1.35,2.9,,,,,08:00,Thunderpick
10,Macko Esports,Team GO,,,,,2.9,1.35,,,,,15:00,Thunderpick
11,BK ROG Esports,Vitality.Bee,,,,,2.7,1.4,,,,,15:00,Thunderpick
12,Freecs Challengers,HLE Challengers,,,,,2.35,1.52,,,,,08:00,Thunderpick
13,LOUD,RED Canids,,,,,1.55,2.3,,,,,16:00,Thunderpick
14,DetonatioN FocusMe,Frank Esports,,,,,2.35,1.52,,,,,09:00,Thunderpick
15,CTBC Flying Oyster,Deep Cross Gaming,,,,,1.4,2.7,,,,,09:00,Thunderpick
16,Fukuoka SoftBank HAWKS,PSG Talon,,,,,4.4,1.17,,,,,09:00,Thunderpick
17,Blue Otter,Winthrop University,,,,,1.45,2.6,,,,,00:00,Thunderpick
18,Disguised,Team Liquid Challengers,,,,,2.15,1.62,,,,,00:00,Thunderpick
19,Dragonsteel,Fear x Starforge,,,,,1.22,3.8,,,,,00:00,Thunderpick
20,Infinity,Rainbow7,,,,,3.3,1.28,,,,,21:00,Thunderpick
21,Ilha das Lendas,Keyd Academy,,,,,2.3,1.55,,,,,21:00,Thunderpick
