,Spread1_Team,Spread2_Team,Spread1_Decimal,Spread2_Decimal,Spread1_Ou,Spread2_Ou,Spread1_Probability,Spread2_Probability,Spread1_Ev,Spread2_Ev,Spread1_Site,Spread2_Site,Date_Time
0,BRION,T1,280.0,-400.0,1.5,-1.5,333,-233,93233.33,93233.33,Draftkings,Draftkings,07:00
1,Bilibili Gaming,T1,3.0,1.5,-1.5,1.5,34,66,2.05,-1.03,Pinnacle,"Bovada, ESPNBet",Jul 04 15:00
2,DRX,Dplus,2.4,1.56,1.5,-1.5,39,61,-6.03,-5.08,Pinnacle,ESPNBet,00:00
3,DRX,Freecs,1.813,1.95,1.5,-1.5,52,48,-6.07,-6.02,Pinnacle,ESPNBet,22:00
4,Deep Cross Gaming,Frank Esports,1.67,2.43,1.5,-1.5,60,40,-0.52,-1.75,ESPNBet,Pinnacle,01:00
5,Dplus,Gen.G Esports,2.25,1.632,1.5,-1.5,42,57,-4.87,-5.8,ESPNBet,Pinnacle,22:00
6,Flyquest,G2 Esports,2.45,1.609,1.5,-1.5,40,60,-2.46,-3.16,Bovada,Pinnacle,Jul 05 18:00
7,Fnatic,Team Liquid,3.24,1.352,-1.5,1.5,28,71,-4.74,-4.55,Pinnacle,Pinnacle,10:00
8,Freecs,Gen.G Esports,2.7,1.523,1.5,-1.5,37,63,-0.69,-3.72,ESPNBet,Pinnacle,02:30
9,Gen.G Esports,Top Esports,2.09,1.83,-1.5,1.5,48,52,-0.01,-4.56,Pinnacle,Bovada,Jul 05 15:00
10,Hanwha Life Esports,T1,1.45,2.78,1.5,-1.5,66,34,-4.71,-4.7,ESPNBet,Pinnacle,02:30
11,KT Rolster,Nongshim RedForce,1.806,2.05,-1.5,1.5,49,51,-11.01,3.98,Pinnacle,ESPNBet,02:30
12,SK Gaming,Team Heretics,1.961,1.787,-1.5,1.5,50,50,-2.08,-10.53,Pinnacle,Pinnacle,07:00
13,Team BDS,MAD Lions KOI,-140.0,105.0,-1.5,1.5,-300,400,41900.0,41900.0,Draftkings,Draftkings,14:00
