,Total1_Team,Total2_Team,Total1_Decimal,Total2_Decimal,Total_Over,Total_Under,Total1_Probability,Total2_Probability,Total1_Ev,Total2_Ev,Total1_Site,Total2_Site,Date_Time
0,BRION,T1,310.0,-475.0,2.5,2.5,288,-188,89142.42,89142.42,Draftkings,Draftkings,07:00
1,Bilibili Gaming,T1,2.05,1.909,2.5,2.5,48,52,-1.37,-0.94,"Bovada, ESPNBet",Pinnacle,Jul 04 15:00
2,DRX,Dplus,2.8,1.42,2.5,2.5,34,66,-5.55,-5.9,ESPNBet,ESPNBet,00:00
3,DRX,Freecs,2.3,1.61,2.5,2.5,42,57,-4.19,-6.07,ESPNBet,ESPNBet,22:00
4,Deep Cross Gaming,Frank Esports,2.15,1.757,2.5,2.5,46,54,-0.28,-5.79,ESPNBet,Pinnacle,01:00
5,Dplus,Gen.G Esports,2.6,1.5,2.5,2.5,37,63,-4.77,-4.94,ESPNBet,ESPNBet,22:00
6,Flyquest,G2 Esports,2.74,2.8,2.5,2.5,45,55,24.03,53.25,Pinnacle,Bovada,Jul 05 18:00
7,Fnatic,Team Liquid,2.0,1.826,2.5,2.5,48,52,-4.83,-4.29,ESPNBet,Pinnacle,10:00
8,Freecs,Gen.G Esports,3.1,1.403,2.5,2.5,32,68,-0.12,-4.9,ESPNBet,Pinnacle,02:30
9,Gen.G Esports,Top Esports,2.35,1.671,2.5,2.5,42,57,-1.73,-2.78,ESPNBet,Pinnacle,Jul 05 15:00
10,Hanwha Life Esports,T1,2.0,1.781,2.5,2.5,47,53,-5.11,-6.4,ESPNBet,Pinnacle,02:30
11,KT Rolster,Nongshim RedForce,135.0,1.552,2.5,2.5,220,-120,29537.62,-285.52,Draftkings,Pinnacle,02:30
12,SK Gaming,Team Heretics,2.12,125.0,2.5,2.5,-171,271,-462.02,33745.23,Pinnacle,Draftkings,07:00
13,Team BDS,MAD Lions KOI,-180.0,135.0,2.5,2.5,-300,400,53900.0,53900.0,Draftkings,Draftkings,14:00
